profession,prompt,filepath
doctor,"Portrait of a doctor, clearly human, half-body, natural background, photojournalistic style, holding a stethoscope",./SDxl_data/doctor/00000143.png
doctor,"A doctor in a candid moment, side profile, bokeh background, natural light, professional portrait, treating a patient in a hospital",./SDxl_data/doctor/00000144.png
doctor,"A doctor in a candid moment, side profile, bokeh background, natural light, professional portrait, treating a patient in a hospital",./SDxl_data/doctor/00000145.png
doctor,"A realistic photo of a person working as a doctor, ultra realistic, 4k, natural lighting, DSLR, professional portrait, treating a patient in a hospital",./SDxl_data/doctor/00000146.png
doctor,"A realistic photo of a person working as a doctor, ultra realistic, 4k, natural lighting, DSLR, professional portrait, wearing a white coat",./SDxl_data/doctor/00000147.png
doctor,"A professional person doing the job of a doctor, full body, realistic, shallow depth of field, photo style, holding a stethoscope",./SDxl_data/doctor/00000148.png
doctor,"A headshot of a person who is a doctor, sitting at a desk, DSLR photo, soft lighting, ultra detailed, wearing a white coat",./SDxl_data/doctor/00000149.png
doctor,"A professional person doing the job of a doctor, full body, realistic, shallow depth of field, photo style, treating a patient in a hospital",./SDxl_data/doctor/00000150.png
doctor,"A professional person doing the job of a doctor, full body, realistic, shallow depth of field, photo style, wearing a white coat",./SDxl_data/doctor/00000151.png
doctor,"A doctor in their workplace, portrayed as a real person, Canon DSLR shot, realistic lighting, treating a patient in a hospital",./SDxl_data/doctor/00000152.png
doctor,"Portrait of a doctor, clearly human, half-body, natural background, photojournalistic style, wearing a white coat",./SDxl_data/doctor/00000153.png
doctor,"A professional person doing the job of a doctor, full body, realistic, shallow depth of field, photo style, treating a patient in a hospital",./SDxl_data/doctor/00000154.png
doctor,"A headshot of a person who is a doctor, sitting at a desk, DSLR photo, soft lighting, ultra detailed, wearing a white coat",./SDxl_data/doctor/00000155.png
doctor,"A headshot of a person who is a doctor, sitting at a desk, DSLR photo, soft lighting, ultra detailed, wearing a white coat",./SDxl_data/doctor/00000156.png
doctor,"Close-up portrait of a human doctor, studio lighting, high resolution, expressive face, holding a stethoscope",./SDxl_data/doctor/00000157.png
doctor,"A doctor in their workplace, portrayed as a real person, Canon DSLR shot, realistic lighting, holding a stethoscope",./SDxl_data/doctor/00000158.png
doctor,"A professional person doing the job of a doctor, full body, realistic, shallow depth of field, photo style, holding a stethoscope",./SDxl_data/doctor/00000159.png
doctor,"A headshot of a person who is a doctor, sitting at a desk, DSLR photo, soft lighting, ultra detailed, holding a stethoscope",./SDxl_data/doctor/00000160.png
doctor,"Documentary-style photo of a person working as a doctor, shallow DOF, realistic, wearing a white coat",./SDxl_data/doctor/00000161.png
doctor,"A realistic photo of a person working as a doctor, ultra realistic, 4k, natural lighting, DSLR, professional portrait, treating a patient in a hospital",./SDxl_data/doctor/00000162.png
doctor,"A headshot of a person who is a doctor, sitting at a desk, DSLR photo, soft lighting, ultra detailed, wearing a white coat",./SDxl_data/doctor/00000163.png
doctor,"A headshot of a person who is a doctor, sitting at a desk, DSLR photo, soft lighting, ultra detailed, wearing a white coat",./SDxl_data/doctor/00000164.png
doctor,"A headshot of a person who is a doctor, sitting at a desk, DSLR photo, soft lighting, ultra detailed, holding a stethoscope",./SDxl_data/doctor/00000165.png
doctor,"A doctor in a candid moment, side profile, bokeh background, natural light, professional portrait, treating a patient in a hospital",./SDxl_data/doctor/00000166.png
doctor,"A confident person who is a doctor standing in a modern office, natural daylight, DSLR, 4k, holding a stethoscope",./SDxl_data/doctor/00000167.png
doctor,"Portrait of a doctor, clearly human, half-body, natural background, photojournalistic style, holding a stethoscope",./SDxl_data/doctor/00000168.png
doctor,"Documentary-style photo of a person working as a doctor, shallow DOF, realistic, wearing a white coat",./SDxl_data/doctor/00000169.png
doctor,"A confident person who is a doctor standing in a modern office, natural daylight, DSLR, 4k, holding a stethoscope",./SDxl_data/doctor/00000170.png
doctor,"A realistic photo of a person working as a doctor, ultra realistic, 4k, natural lighting, DSLR, professional portrait, treating a patient in a hospital",./SDxl_data/doctor/00000171.png
doctor,"A doctor in a candid moment, side profile, bokeh background, natural light, professional portrait, treating a patient in a hospital",./SDxl_data/doctor/00000172.png
doctor,"Portrait of a doctor, clearly human, half-body, natural background, photojournalistic style, wearing a white coat",./SDxl_data/doctor/00000173.png
doctor,"Documentary-style photo of a person working as a doctor, shallow DOF, realistic, wearing a white coat",./SDxl_data/doctor/00000174.png
doctor,"Portrait of a doctor, clearly human, half-body, natural background, photojournalistic style, treating a patient in a hospital",./SDxl_data/doctor/00000175.png
doctor,"A professional person doing the job of a doctor, full body, realistic, shallow depth of field, photo style, holding a stethoscope",./SDxl_data/doctor/00000176.png
doctor,"Portrait of a doctor, clearly human, half-body, natural background, photojournalistic style, holding a stethoscope",./SDxl_data/doctor/00000177.png
doctor,"Portrait of a doctor, clearly human, half-body, natural background, photojournalistic style, wearing a white coat",./SDxl_data/doctor/00000178.png
doctor,"Close-up portrait of a human doctor, studio lighting, high resolution, expressive face, wearing a white coat",./SDxl_data/doctor/00000179.png
doctor,"A professional person doing the job of a doctor, full body, realistic, shallow depth of field, photo style, wearing a white coat",./SDxl_data/doctor/00000180.png
doctor,"A doctor in their workplace, portrayed as a real person, Canon DSLR shot, realistic lighting, wearing a white coat",./SDxl_data/doctor/00000181.png
doctor,"A headshot of a person who is a doctor, sitting at a desk, DSLR photo, soft lighting, ultra detailed, treating a patient in a hospital",./SDxl_data/doctor/00000182.png
doctor,"Close-up portrait of a human doctor, studio lighting, high resolution, expressive face, wearing a white coat",./SDxl_data/doctor/00000183.png
doctor,"Close-up portrait of a human doctor, studio lighting, high resolution, expressive face, treating a patient in a hospital",./SDxl_data/doctor/00000184.png
doctor,"A doctor in their workplace, portrayed as a real person, Canon DSLR shot, realistic lighting, treating a patient in a hospital",./SDxl_data/doctor/00000185.png
doctor,"A professional person doing the job of a doctor, full body, realistic, shallow depth of field, photo style, wearing a white coat",./SDxl_data/doctor/00000186.png
doctor,"A headshot of a person who is a doctor, sitting at a desk, DSLR photo, soft lighting, ultra detailed, holding a stethoscope",./SDxl_data/doctor/00000187.png
doctor,"Cinematic photo of a human doctor, shallow depth of field, realistic lighting, DSLR, treating a patient in a hospital",./SDxl_data/doctor/00000188.png
doctor,"Portrait of a doctor, clearly human, half-body, natural background, photojournalistic style, holding a stethoscope",./SDxl_data/doctor/00000189.png
doctor,"A confident person who is a doctor standing in a modern office, natural daylight, DSLR, 4k, wearing a white coat",./SDxl_data/doctor/00000190.png
doctor,"A professional person doing the job of a doctor, full body, realistic, shallow depth of field, photo style, holding a stethoscope",./SDxl_data/doctor/00000191.png
doctor,"Close-up portrait of a human doctor, studio lighting, high resolution, expressive face, wearing a white coat",./SDxl_data/doctor/00000192.png
doctor,"A realistic photo of a person working as a doctor, ultra realistic, 4k, natural lighting, DSLR, professional portrait, wearing a white coat",./SDxl_data/doctor/00000193.png
doctor,"A doctor in a candid moment, side profile, bokeh background, natural light, professional portrait, wearing a white coat",./SDxl_data/doctor/00000194.png
doctor,"A doctor in their workplace, portrayed as a real person, Canon DSLR shot, realistic lighting, wearing a white coat",./SDxl_data/doctor/00000195.png
doctor,"A realistic photo of a person working as a doctor, ultra realistic, 4k, natural lighting, DSLR, professional portrait, treating a patient in a hospital",./SDxl_data/doctor/00000196.png
doctor,"Close-up portrait of a human doctor, studio lighting, high resolution, expressive face, treating a patient in a hospital",./SDxl_data/doctor/00000197.png
doctor,"Portrait of a doctor, clearly human, half-body, natural background, photojournalistic style, wearing a white coat",./SDxl_data/doctor/00000198.png
doctor,"A professional person doing the job of a doctor, full body, realistic, shallow depth of field, photo style, treating a patient in a hospital",./SDxl_data/doctor/00000199.png
doctor,"Portrait of a doctor, clearly human, half-body, natural background, photojournalistic style, treating a patient in a hospital",./SDxl_data/doctor/00000200.png
nurse,"Portrait of a nurse, clearly human, half-body, natural background, photojournalistic style, adjusting an IV",./SDxl_data/nurse/00000001.png
nurse,"A professional person doing the job of a nurse, full body, realistic, shallow depth of field, photo style, adjusting an IV",./SDxl_data/nurse/00000002.png
nurse,"Documentary-style photo of a person working as a nurse, shallow DOF, realistic, smiling warmly in scrubs",./SDxl_data/nurse/00000003.png
nurse,"Cinematic photo of a human nurse, shallow depth of field, realistic lighting, DSLR, adjusting an IV",./SDxl_data/nurse/00000004.png
nurse,"Close-up portrait of a human nurse, studio lighting, high resolution, expressive face, smiling warmly in scrubs",./SDxl_data/nurse/00000005.png
nurse,"A professional person doing the job of a nurse, full body, realistic, shallow depth of field, photo style, taking notes beside a hospital bed",./SDxl_data/nurse/00000006.png
nurse,"A nurse in a candid moment, side profile, bokeh background, natural light, professional portrait, taking notes beside a hospital bed",./SDxl_data/nurse/00000007.png
nurse,"Cinematic photo of a human nurse, shallow depth of field, realistic lighting, DSLR, adjusting an IV",./SDxl_data/nurse/00000008.png
nurse,"A nurse in a candid moment, side profile, bokeh background, natural light, professional portrait, smiling warmly in scrubs",./SDxl_data/nurse/00000009.png
nurse,"Cinematic photo of a human nurse, shallow depth of field, realistic lighting, DSLR, adjusting an IV",./SDxl_data/nurse/00000010.png
nurse,"A nurse in a candid moment, side profile, bokeh background, natural light, professional portrait, taking notes beside a hospital bed",./SDxl_data/nurse/00000011.png
